Topic,Count,Name,Representation,Representative_Docs
57,165,57_resigned_resignation_resign_position,"['resigned', 'resignation', 'resign', 'position', 'office', 'election', 'appointed', 'announced', 'party', 'post']","['He resigned from his position in 2008, being replaced by Antonis Skyllakos.', 'He resigned when the cabinet was reshuffled on 11 December 2011.', 'In February 2009 he resigned from DMK and as an MLA.']"
58,162,58_act_passed_house_vote,"['act', 'passed', 'house', 'vote', 'care', 'voted', 'affordable', 'law', 'representatives', 'party']","['The bill passed to the House of Commons.', 'On the same day, the House of Representatives re-voted on the bill and passed it by a vote of 224–201.', 'A proposed offering of the un-passed 2009 House Bill 3962, known as the Affordable Health Care for America Act']"
59,161,59_river_state_tributary_municipality,"['river', 'state', 'tributary', 'municipality', 'southeastern', 'rivers', 'list', 'southern', 'western', 'eastern']","['Curuçá River (Pará), a river in the state of Pará, Brazil', 'The Cajari River (Rio Cajari) is a river of Amapá state in Brazil.', 'The Tejipió River is a river of Pernambuco state in Brazil.']"
60,157,60_fjord_municipality_located_village,"['fjord', 'municipality', 'located', 'village', 'peninsula', 'island', 'county', 'northeast', 'km', 'lies']","['Flensburg Firth or Flensborg Fjord (Flensburger Förde Flensborg Fjord), is the westernmost inlet of the Baltic Sea.', 'Lysakerfjorden (Lysaker Fjord) is an arm of the Oslofjord in Norway.', 'Vestfjorden (Svalbard), a fjord on the island of Spitsbergen in Svalbard']"
61,155,61_million_billion_film_cost,"['million', 'billion', 'film', 'cost', 'budget', 'worldwide', 'revenue', 'box', 'dollars', 'estimated']","['The film grossed $ 102 million worldwide against a $ 49 million budget.', 'The film earned $ 40.3 million at worldwide box office on a production budget of $ 11.8 million.', 'Produced with a budget of USD $ 120 million, the film grossed $ 144 million domestically and $ 202 million in foreign markets for a worldwide total of $ 346 million.']"
62,153,62_heat_heating_cooling_air,"['heat', 'heating', 'cooling', 'air', 'fluid', 'thermal', 'storage', 'pump', 'heated', 'hot']","['A heat pump is a device that provides heat energy from a source of heat to a destination called a ""heat sink"".', ""For most exhaust air heat pumps there will be a low heat output to the hot water and heating of just around 1.2 Kw from the compressor / heat pump process but if that falls short of the building 's requirements additional heat will be automatically triggered in the form of immersion heaters or an external gas boiler."", 'As heat demand increases, more electricity is generated to drive the heat pump, with the waste heat also heating the heating fluid.']"
63,150,63_rose_points_game_team,"['rose', 'points', 'game', 'team', 'win', 'season', 'played', 'born', 'play', 'school']","[""Rose is a part-owner and spokesman for the Chicago-based Giordano's Pizzeria."", 'The rose hip, also called rose haw and rose hep, is the accessory fruit of the rose plant.', 'Myim Rose was a singer/songwriter/actress from Washington Heights, New York.']"
64,149,64_insects_feed_feeds_diet,"['insects', 'feed', 'feeds', 'diet', 'fish', 'invertebrates', 'eat', 'larvae', 'prey', 'small']","['It feeds mainly on flying insects, beetles, caterpillars and other insects, but also eats berries.', 'It primarily feeds on voles, frogs, fish, crustaceans and insects.', 'They mostly feed on small aquatic insects and fish.']"
65,149,65_fruit_fruits_cm_seeds,"['fruit', 'fruits', 'cm', 'seeds', 'diameter', 'mm', 'orange', 'red', 'long', 'round']","['The region produces various other horticultural products, including carrots, onions and tomatoes, as well as fruits, such as peach, passion fruit (granadilla), and soursop (anona).', 'The fruit is oblong, enclosed in the calyx.', 'Traditionally, the fruit used has been Chinese hawthorn, but in recent times vendors have also used various other fruits, such as cherry tomatoes, mandarin oranges, strawberries, blueberries, pineapples, kiwifruit, bananas, or grapes.']"
66,148,66_politician_1924_1923_1925,"['politician', '1924', '1923', '1925', '1927', '1926', '1936', '1933', 'states', '1929']","['John W. McCormick (1831 -- 1917), American politician and U.S. Representative from Ohio', 'William E. Humphrey (1862 -- 1934), American politician', 'Nathan B. Scott (1842 -- 1924), U.S. politician']"
67,147,67_hotel_hotels_rooms_opened,"['hotel', 'hotels', 'rooms', 'opened', 'room', 'beach', 'floors', 'building', 'pool', 'star']","['Radisson Blu Hotel Hamburg is a 4-star superior hotel in Hamburg, Germany.', 'Hotel Chinzanso Tokyo is a five star hotel in Bunkyō, Tokyo.', ""The Hongkong Hotel was Hong Kong 's first luxury hotel modelled after sumptuous London hotels.""]"
68,139,68_fertilizers_nitrogen_fertilizer_phosphorus,"['fertilizers', 'nitrogen', 'fertilizer', 'phosphorus', 'phosphate', 'nutrients', 'nutrient', 'soil', 'plant', 'ammonia']","['Major two-component fertilizers provide both nitrogen and phosphorus to the plants.', 'Phosphorus and nitrogen fertilizers when commonly used have major environmental effects.', 'NPK fertilizers are three-component fertilizers providing nitrogen, phosphorus, and potassium.']"
69,134,69_act_clean_air_pollution,"['act', 'clean', 'air', 'pollution', 'federal', 'standards', 'agency', 'quality', 'protection', 'control']","['The Clean Air Act of 1963 was the first federal legislation regarding air pollution control.', 'Clean Air Act"" of 1970', 'The EPA analyzes violators of the Clean Air Act and addresses the violators accordingly.']"
70,133,70_depression_recession_great_unemployment,"['depression', 'recession', 'great', 'unemployment', 'inflation', 'growth', 'rate', 'financial', 'economic', 'crisis']","['Upon entering office, Obama focused on handling the global financial crisis and the subsequent Great Recession that had begun before his election, which was generally regarded as the worst economic downturn since the Great Depression.', 'The Great Depression was a severe worldwide economic depression that took place during the 1930s.', 'The Long Depression, an 1873 -- 1896 economic recession sometimes known as the Great Depression']"
71,131,71_emissions_engineering_limit_mitigation,"['emissions', 'engineering', 'limit', 'mitigation', 'ppm', 'global', 'warming', 'limiting', 'greenhouse', '450']","['For example, limiting global warming to 1.5\xa0°C relative to pre-industrial levels reduces climate change damages more than a 2\xa0°C limit.', 'The current trajectory of global greenhouse gas emissions is not consistent with limiting global warming to below 1.5 or 2\xa0°C, relative to pre-industrial levels.', 'For example, limiting global warming to 1\xa0°C relative to pre-industrial levels may help to reduce climate change damages more than a 2\xa0°C limit.']"
72,128,72_comics_comic_fictional_character,"['comics', 'comic', 'fictional', 'character', 'universe', 'books', 'series', 'characters', 'published', 'book']","['Aquarius (DC Comics), a DC Comics villain', 'Mister E (Timely Comics), a Timely Comics (now Marvel Comics) character', 'The character is unrelated to those published by Fawcett Comics, DC Comics, or Marvel Comics.']"
73,123,73_listed_buildings_list_south,"['listed', 'buildings', 'list', 'south', 'west', 'east', 'village', 'mi', 'miles', 'north']","['List of listed buildings in Perth, Perth and Kinross', 'This is a list of listed buildings in the parish of Latheron in Highland, Scotland.', 'This is a list of listed buildings in the parish of Kilmory in North Ayrshire, Scotland.']"
74,120,74_permafrost_methane_melting_frozen,"['permafrost', 'methane', 'melting', 'frozen', 'continuous', 'ground', 'soil', 'release', 'mean', 'arctic']","['Furthermore, permafrost melting will eventually cause methane release from melting permafrost peat bogs.', 'It was judged that increased emissions of carbon from thawing of permafrost could occur.', 'Discontinuous permafrost is often further divided into ""extensive discontinuous permafrost"", where permafrost covers between 50 and 90 percent of the landscape and is usually found in areas with mean annual temperatures between , and ""sporadic permafrost"", where permafrost cover is less than 50 percent of the landscape and typically occurs at mean annual temperatures between .']"
75,115,75_port_ships_ship_marine,"['port', 'ships', 'ship', 'marine', 'shipping', 'maritime', 'cargo', 'terminal', 'boat', 'fishing']","['Hongkong International Terminals Limited (HIT) is one of several key container port operators in the Port of Hong Kong owned by Hutchison Port Holdings, which is the largest port operator in Hong Kong and the world.', 'It is owned by the Port of Port Townsend.', 'Port Vincent, South Australia, Australia']"
76,115,76_desert_humid_climates_subtropical,"['desert', 'humid', 'climates', 'subtropical', 'hot', 'summers', 'winters', 'cold', 'mild', 'temperate']","['Turpan has an extremely continental desert climate (Köppen Climate Classification ""BWk""), with long, extremely hot summers (resembling a hot desert climate or ""BWh"") and very cold winters (typical of a cold desert) and brief spring and autumn in between.', 'Cold desert climates are typically found at higher altitudes than hot desert climates and are usually drier than hot desert climates.', 'Within the region, desert/semi-desert (California, Nevada, Arizona, New Mexico, Oklahoma, and Texas), Mediterranean (California), humid subtropical (Oklahoma, Texas, Louisiana, Mississippi, Alabama, Arkansas, Florida, Georgia, South Carolina, North Carolina, and Tennessee), and tropical (Florida) climates can be found.']"
77,114,77_calendar_year_leap_starting,"['calendar', 'year', 'leap', 'starting', 'display', 'link', 'days', 'date', 'common', 'month']","['Year 1356 (MCCCLVI) was a leap year starting on Friday (link will display the full calendar) of the Julian calendar.', 'Year 1184 (MCLXXXIV) was a leap year starting on Sunday (link will display the full calendar) of the Julian calendar.', 'Year 1568 (MDLXVIII) was a leap year starting on Thursday (link will display the full calendar) of the Julian calendar.']"
78,113,78_roof_tower_corner_topped,"['roof', 'tower', 'corner', 'topped', 'story', 'features', 'building', 'windows', 'entrance', 'towers']","['It has a rear wing, high-pitched gable roof, and a projecting corner tower with a mansard roof.', 'It features a 3 1/2 - story, cylindrical corner tower with a cylindrical roof.', 'The corner tower is also made of fieldstone, topped by a bell tower with a flared shingled roof.']"
79,113,79_aerosol_aerosols_particles_particle,"['aerosol', 'aerosols', 'particles', 'particle', 'sulfate', 'particulate', 'direct', 'droplets', 'radiation', 'effect']","['An aerosol includes both the particles and the suspending gas, which is usually air.', 'Aerosol science covers generation and removal of aerosols, technological application of aerosols, effects of aerosols on the environment and people, and other topics.', 'As particles and droplets in an aerosol collide with one another, they may undergo coalescence or aggregation.']"
80,112,80_population_billion_growth_birth,"['population', 'billion', 'growth', 'birth', '2050', 'rate', 'rates', 'fertility', 'world', 'nations']","[""The UN publication 'World population prospects' (2017) projects that the world population will reach 9.8 billion in 2050 and 11.2 billion in 2100."", 'According to the most recent (July 2015) revision of the official United Nations World Population Prospects, the world population is projected to reach 8.5 billion by 2030, up from the current 7.3 billion (July 2015), to exceed 9 billion people by 2050, and to reach 11.2 billion by the year 2100.', '2012 United Nations projections show a continued increase in population in the near future with a steady decline in population growth rate; the global population is expected to reach between 8.3\xa0and 10.9\xa0billion by 2050.']"
81,110,81_ozone_layer_stratosphere_depletion,"['ozone', 'layer', 'stratosphere', 'depletion', 'black', 'ultraviolet', 'atmosphere', 'radiation', 'stratospheric', 'concentrations']","[""Lindzen's work on ozone photochemistry has been important in studies that look at the effects that anthropogenic ozone depletion will have on climate."", 'Although the concentration of the ozone in the ozone layer is very small, it is vitally important to life because it absorbs biologically harmful ultraviolet (UV) radiation coming from the sun.', 'There is a large area of low ozone concentration or ""ozone hole"" over Antarctica.']"
82,110,82_resilience_resiliency_urban_climate,"['resilience', 'resiliency', 'urban', 'climate', 'ecological', 'disaster', 'social', 'vulnerability', 'resilient', 'risk']","['Interdisciplinary discourse on resilience now includes consideration of the interactions of humans and ecosystems via socio-ecological systems, and the need for shift from the maximum sustainable yield paradigm to environmental resource management which aims to build ecological resilience through ""resilience analysis, adaptive resource management, and adaptive governance"".', 'Ecological resilience and the thresholds by which resilience is defined are closely interrelated in the way that they influence environmental policy-making, legislation and subsequently environmental management.', 'Ecological resilience is a cornerstone theory in ecosystem management.']"
83,110,83_1918_war_founded_writer,"['1918', 'war', 'founded', 'writer', 'anti', '1933', 'von', 'history', '1945', 'party']","['The uprising started on 6 July 1918 and was claimed to be intended to restart the war with Germany.', 'November 1918 : A German Revolution (November 1918, eine deutsche Revolution) is a tetralogy of novels by German writer Alfred Döblin about the German Revolution of 1918 -- 1919.', 'It became a Free state in the era of Weimar Republic in 1918 after the end of World War I and the abdication of King Frederick Augustus III of Saxony.']"
84,108,84_eclipse_moon_partial_annular,"['eclipse', 'moon', 'partial', 'annular', 'occurs', 'sun', 'lunar', 'eclipses', 'solar', 'obscuring']","['A solar eclipse occurs when the Moon passes between Earth and the Sun, thereby totally or partly obscuring the image of the Sun for a viewer on Earth.', 'A solar eclipse occurs when the Moon passes between Earth and the Sun, thereby totally or partly obscuring the image of the Sun for a viewer on Earth.', 'A solar eclipse occurs when the Moon passes between Earth and the Sun, thereby totally or partly obscuring the image of the Sun for a viewer on Earth.']"
85,107,85_feedback_positive_input_loop,"['feedback', 'positive', 'input', 'loop', 'negative', 'gain', 'equilibrium', 'output', 'systems', 'control']","['Similar experiments have found a preference for positive feedback, and the people who give it, over negative feedback.', 'Positive feedback (or exacerbating feedback) is a process that occurs in a feedback loop which exacerbates the effects of a small disturbance.', 'This is an example of positive feedback.']"
86,106,86_oscillation_la_eastern_southern,"['oscillation', 'la', 'eastern', 'southern', 'surface', 'warm', 'phase', 'ocean', 'events', 'decadal']","['La Niña (/lɑːˈniːnjə/, Spanish pronunciation:\xa0[la ˈniɲa]) is a coupled ocean-atmosphere phenomenon that is the colder counterpart of El Niño, as part of the broader El Niño–Southern Oscillation climate pattern.', 'El Niño is the warm phase of the El Niño–Southern Oscillation (ENSO) and La Niña the cold phase.', 'La Niña is the positive and cold phase of the El Niño–Southern Oscillation, and is associated with cooler-than-average sea surface temperatures in the central and eastern tropical Pacific Ocean.']"
87,106,87_erosion_soil_soils_degradation,"['erosion', 'soil', 'soils', 'degradation', 'rates', 'loss', 'wind', 'vegetation', 'land', 'particles']","['In accordance with these agents, erosion is sometimes divided into water erosion, glacial erosion, snow erosion, wind (aeolic) erosion, zoogenic erosion, and anthropogenic erosion.', 'Rainfall, and the surface runoff which may result from rainfall, produces four main types of soil erosion: ""splash erosion"", ""sheet erosion"", ""rill erosion"", and ""gully erosion"".', 'There are four main types of soil erosion by water: splash erosion, sheet erosion, rill erosion and gully erosion.']"
88,105,88_test_tested_experiments_theories,"['test', 'tested', 'experiments', 'theories', 'scientific', 'statistical', 'method', 'hypothesis', 'theory', 'assumptions']","['It is a fundamental part of the scientific method that all hypotheses and theories must be tested against observations of the natural world rather than resting solely on a priori reasoning, intuition, or revelation.', ""So when the result of a statistical analysis is said to be an ``exact test'' or an ``exact p-value'', it ought to imply that the test is defined without parametric assumptions and evaluated without using approximate algorithms."", ""Often a plastic test plate containing many small ``wells'' is used as the test dish so that many patients may be tested at the same time but their results can be kept separate from each other.""]"
89,105,89_median_income_family_household,"['median', 'income', 'family', 'household', 'females', 'versus', '49', 'capita', '52', 'district']","['In the Commonwealth, the median family income was $ 52,381 and the United States median family income was $ 49,445, in 2010.', 'The median income for a household in the CDP was $28,393, and the median income for a family was $34,844.', 'The median income for a household in the borough was $67,346, and the median income for a family was $102,957.']"
90,105,90_votes_election_vote_won,"['votes', 'election', 'vote', 'won', 'candidate', 'defeated', 'percent', 'win', 'winning', 'margin']","['In the ensuing general election Winston defeated Blossman, 9,549 votes (52 percent) to 8,800 (48 percent).', 'He ran again in the 1900 election and won by a margin of 19 votes.', 'He won the general election against a write-in candidate with about 91 % of the vote according to preliminary election results.']"
91,104,91_rainfall_precipitation_mm_monsoon,"['rainfall', 'precipitation', 'mm', 'monsoon', 'annual', 'rainy', 'average', 'rain', 'seasons', 'region']","['The area has an annual rainfall of 1000 mm.', 'According to FAO the long-run average annual rainfall is 1,738 millimeters (mm).', 'The average annual rainfall is around 859.8 mm.']"
92,103,92_conference_nations_framework_parties,"['conference', 'nations', 'framework', 'parties', 'climate', 'change', 'agreement', 'lobby', 'session', 'held']","[""The 2012 United Nations Climate Change Conference was the 18th yearly session of the Conference of the Parties (COP) to the 1992 United Nations Framework Convention on Climate Change (UNFCCC) and the 8th session of the Meeting of the Parties (CMP) to the 1997 Kyoto Protocol (the protocol having been developed under the UNFCCC 's charter)."", 'The conference encompassed meetings of several bodies, including the 13th Conference of the Parties to the United Nations Framework Convention on Climate Change (COP 13) and the 3rd Meeting of the Parties to the Kyoto Protocol (MOP 3 or CMP 3).', ""The 2013 United Nations Climate Change Conference was the 19th yearly session of the Conference of the Parties (COP) to the 1992 United Nations Framework Convention on Climate Change (UNFCCC) and the 9th session of the Meeting of the Parties (CMP) to the 1997 Kyoto Protocol (the protocol having been developed under the UNFCCC's charter).""]"
93,101,93_stadium_campus_field_capacity,"['stadium', 'campus', 'field', 'capacity', 'games', 'park', 'multi', '000', 'home', 'events']","['See : Qualcomm Stadium in San Diego, California.', 'See : Qualcomm Stadium in San Diego, California.', 'See : Qualcomm Stadium in San Diego, California.']"
94,100,94_rock_rocks_minerals_mineral,"['rock', 'rocks', 'minerals', 'mineral', 'crystals', 'formed', 'calcium', 'deposits', 'fine', 'formation']","['Felsite (also called felstone) is a very fine grained volcanic rock that may or may not contain larger crystals.', 'Fractional crystallization (geology), a natural process occurring in igneous rocks during which precipitation of minerals takes place', 'It is also typical of the interstitial or cementing minerals formed during the diagenesis of sedimentary rocks.']"
95,99,95_la_city_located_situated,"['la', 'city', 'located', 'situated', 'km', 'places', 'county', 'center', 'historic', 'street']","['La Neuville-à-Maire, in the Ardennes département', 'La Ferté-Alais, in the Essonne département', 'La Pommeraie-sur-Sèvre, in the Vendée département']"
96,97,96_meridian_longitude_circle_east,"['meridian', 'longitude', 'circle', 'east', 'line', 'west', 'latitude', 'ocean', 'extends', 'forms']","['The 153rd meridian west forms a great circle with the 27th meridian east.', 'The 29th meridian west forms a great circle with the 151st meridian east.', 'The 64th meridian west forms a great circle with the 116th meridian east.']"
97,97,97_earthquake_tsunami_magnitude_earthquakes,"['earthquake', 'tsunami', 'magnitude', 'earthquakes', 'waves', 'wave', 'moment', 'intensity', 'occurred', 'felt']","['A tsunami was triggered by the earthquake.', 'A particularly dangerous form of slow earthquake is the tsunami earthquake, observed where the relatively low felt intensities, caused by the slow propagation speed of some great earthquakes, fail to alert the population of the neighboring coast, as in the 1896 Sanriku earthquake.', 'The magnitude of this earthquake was put at Mw 7.6.']"
98,96,98_sprawl_urban_city_cities,"['sprawl', 'urban', 'city', 'cities', 'towns', 'community', 'suburbs', 'housing', 'planning', 'growth']","['The term ""urban sprawl"" is highly politicized and almost always has negative connotations.', 'Proponents of containing urban sprawl argue that sprawl leads to urban decay and a concentration of lower income residents in the inner city.', 'Urban sprawl or suburban sprawl mainly refers to the unrestricted growth in many urban areas of housing, commercial development, and roads over large expanses of land, with little concern for urban planning.']"
99,96,99_emails_allegations_data_evidence,"['emails', 'allegations', 'data', 'evidence', 'scientists', 'inquiry', 'science', 'review', 'information', 'research']","['However, the reports urged the scientists to avoid any such allegations in the future, and to regain public confidence following this media storm, with ""more efforts than ever to make available all their supporting data – right down to the computer codes they use – to allow their findings to be properly verified"".', 'The report of the independent Science Assessment Panel was published on 14 April 2010 and concluded that the panel had seen ""no evidence of any deliberate scientific malpractice in any of the work of the Climatic Research Unit.', 'The inquiry committee determined on 3 February 2010 that there was no credible evidence Mann suppressed or falsified data, destroyed emails, information and/or data related to the IPCC Fourth Assessment Report, or misused privileged or confidential information.']"
100,95,100_station_located_street_stations,"['station', 'located', 'street', 'stations', 'square', 'intersection', 'central', 'platform', 'near', 'service']","['A hydrometeorological station and a station of the European Fireball Network at the same time is located here.', 'The old name of this station is Mương Mán Station.', ""However, the station had to be vacated to become the musée d'Orsay.""]"
101,95,101_tax_taxes_cuts_income,"['tax', 'taxes', 'cuts', 'income', 'corporate', 'spending', 'cut', 'act', 'revenue', 'rates']","['Tax withholding had been introduced in the Tariff Act of 1913 but repealed by the Income Tax Act of 1916.', 'The individual and pass-through tax cuts fade over time and become net tax increases starting in 2027 while the corporate tax cuts are permanent.', 'The levies to tax on income were original set out in Schedules to the Income Tax Act.']"
102,94,102_mathematician_mathematical_mathematics_theorem,"['mathematician', 'mathematical', 'mathematics', 'theorem', 'equations', 'theory', 'work', 'analysis', 'proof', 'named']","['José Echegaray (1832 -- 1916), Spanish mathematician, drametist and statesman', 'was a Japanese mathematician who made contributions to analysis and the theory of differential equations.', 'Achille Marie Gaston Floquet (15 December 1847, Épinal -- 7 October 1920, Nancy) was a French mathematician, best known for his work in mathematical analysis, especially in theory of differential equations.']"
103,93,103_thermodynamics_law_entropy_thermodynamic,"['thermodynamics', 'law', 'entropy', 'thermodynamic', 'second', 'energy', 'theorem', 'conservation', 'equilibrium', 'classical']","['The second law of thermodynamics is valid only for systems which are near or in equilibrium state.', ""The second law of thermodynamics states that an isolated system 's entropy never decreases."", 'Rudolf Clausius (Second Law of Thermodynamics)']"
104,93,104_union_unions_workers_labor,"['union', 'unions', 'workers', 'labor', 'trade', 'members', 'membership', 'employees', 'strike', 'collective']","['The union was a member of the Trades Union Congress, but for many years refused to join the Confederation of Shipbuilding and Engineering Unions, something which prompted criticism from other unions in the field.', 'By the 1970s, most unions were unsatisfied with the arrangement, feeling that the trade union members of the council were unrepresentative, and that it was an overly bureaucratic system.', 'The party has members in several unions, including a health union.']"
105,93,105_geothermal_electricity_power_heat,"['geothermal', 'electricity', 'power', 'heat', 'capacity', 'extraction', 'enhanced', 'energy', 'generating', 'potential']","['In 2010, the United States led the world in geothermal electricity production with 3,086 MW of installed capacity from 77 power stations; the largest group of geothermal power plants in the world is located at The Geysers, a geothermal field in California.', 'The largest group of geothermal power plants in the world is located at The Geysers, a geothermal field in California, United States.', 'It is being exploited for geothermal energy.']"
106,91,106_lighting_lights_light_led,"['lighting', 'lights', 'light', 'led', 'use', 'ambient', 'used', 'night', 'devices', 'artificial']","[""He was named in Lighting magazine 's ``Who 's Who of Lighting 2004'', for his contribution to the lighting industry."", '0 -- 10 V lighting control is widely used in commercial and industrial lighting by ballast manufacturers such as GE, Philips, Universal, Metrolight, Sylvania, Creative Lighting, and Lumascape.', 'Lighting was addressed by not only programming the lighting console so that isolated lights could be switched on and off in designated areas of the warehouse, but also by enhancing natural lighting through the use of skylights and a high-gloss floor.']"
107,89,107_warming_human_likely_observed,"['warming', 'human', 'likely', 'observed', 'global', 'scientific', 'activities', 'consensus', 'gases', 'dominant']","['The view that human activities are likely responsible for most of the observed increase in global mean temperature (""global warming"") since the mid-20th century is an accurate reflection of current scientific thinking.', 'This view contradicts the scientific consensus that ""most of the warming observed over the last 50 years is attributable to human activities"".', 'Most of the global warming since the mid-20th century is very likely due to human activities.']"
108,89,108_overfishing_fishing_fisheries_fish,"['overfishing', 'fishing', 'fisheries', 'fish', 'marine', 'sustainable', 'ecosystem', 'coastal', 'species', 'caught']","['Some forms of overfishing, such as the overfishing of sharks, has led to the upset of entire marine ecosystems.', 'There are three recognized types of biological overfishing: growth overfishing, recruit overfishing and ecosystem overfishing.', 'Overfishing has stripped many fisheries around the world of their stocks.']"
109,89,109_glacier_flowing_km_glaciers,"['glacier', 'flowing', 'km', 'glaciers', 'mountains', 'east', 'south', 'ridge', 'southeast', 'north']","['McKinnon Glacier is a glacier flowing southeast from Nemesis Glacier to Beaver Lake in the eastern part of the Aramis Range of the Prince Charles Mountains in Antarctica.', 'The Aletsch Glacier (Aletschgletscher) or Great Aletsch Glacier (Grosser Aletschgletscher) is the largest glacier in the Alps.', 'Honeycomb Glacier (Washington), a glacier in Washington, USA']"
110,89,110_drought_droughts_severe_crops,"['drought', 'droughts', 'severe', 'crops', 'farmers', 'affected', 'prolonged', 'famine', 'rain', 'rainfall']","['It is drought-tolerant once established.', 'It is theorized that drought and unpredictable weather were the cause.', 'In drought it shrinks and becomes desiccated.']"
111,88,111_epoch_geologic_geological_ago,"['epoch', 'geologic', 'geological', 'ago', 'term', 'years', 'timescale', 'stage', 'recent', '000']","[""The Paleocene ([pronˈpæliəˌsiːn, _ ˈpæ -, _ - lioʊ -]) or Palaeocene, the ``old recent'', is a geologic epoch that lasted from about."", 'The Holocene ( ) is the current geological epoch.', 'The Eocene ([pronˈiːəˌsiːn, _ ˈiːoʊ -]) Epoch, lasting from, is a major division of the geologic timescale and the second epoch of the Paleogene Period in the Cenozoic Era.']"
112,88,112_union_countries_integration_political,"['union', 'countries', 'integration', 'political', 'politics', 'policies', 'western', 'states', 'international', 'nations']","['Currently, both countries are often found to be political partners in the European Union.', 'The European example is especially valid in this light, as the European Union as a political body grew out of more than 40 years of economic integration within Europe.', 'East European Politics is a peer-reviewed academic journal covering the government, politics and international relations of the post-communist space, including East Central Europe, the Baltic republics, South Eastern Europe, and the Western Balkans, as well as all the countries of the former Soviet Union.']"
113,88,113_minutes_seconds_lasting_duration,"['minutes', 'seconds', 'lasting', 'duration', 'time', 'hours', '00', 'length', 'consisted', 'match']","['It is three minutes and 34 seconds long and in 4/4 time.', 'The technical routine consists of twelve required elements, which must be completed in order and within a time of between 2 minutes 35 seconds and 3 minutes 5 seconds.', 'It is defined as lasting from 2.0 seconds to several minutes.']"
114,87,114_war_rule_independence_territory,"['war', 'rule', 'independence', 'territory', 'century', 'settled', 'decline', 'capital', '16th', 'led']","['After the war and return of Ottoman rule, the Janissaries began to empower themselves.', 'It tells about the Albanian-Ottoman war during the time of Skanderbeg.', 'The area remained under Ottoman control, with the exception of a brief period of renewed Venetian rule in 1685 -- 1715 and a Russian occupation in 1770 -- 71, until the outbreak of the Greek War of Independence in 1821.']"
115,86,115_funding_fund_foundation_million,"['funding', 'fund', 'foundation', 'million', 'funds', 'raised', 'funded', 'grants', 'corporations', 'billion']","['In 2016, the foundation donated a total of 4.3 million euros.', 'Primary funding was provided by the Town of Lewiston with Niagara River Greenway Plan funds which were received from the New York Power Authority, and with supplemental private support from the Margaret L. Wendt Foundation and the KeyBank Foundation.', 'In 2010, the foundation merged with the Peace Development Fund.']"
116,86,116_denomination_naming_prevalent_medieval,"['denomination', 'naming', 'prevalent', 'medieval', 'era', 'calendar', 'method', 'early', 'period', 'year']","['The denomination 7 BC for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.', 'The denomination 265 BC for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.', 'The denomination 167 BC for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.']"
117,85,117_weather_meteorological_meteorology_forecasts,"['weather', 'meteorological', 'meteorology', 'forecasts', 'forecasting', 'forecast', 'atmospheric', 'prediction', 'organization', 'stations']","['The agency is one of five weather forecast centres for the Meteorological Service of Canada.', ""Weather forecasts for the station are provided by Cheyenne, WY based ``Day Weather.''"", 'Most meteorological observations are taken for use in weather forecasts.']"
118,85,118_aircraft_crashed_flight_crash,"['aircraft', 'crashed', 'flight', 'crash', 'plane', 'crew', 'landing', 'accident', 'killing', 'aviation']","['On 24 July 2014, a McDonnell Douglas MD-83 aircraft flying Air Algérie Flight 5017 crashed southeast of Gossi with 116 people on board.', 'The aircraft crashed in the south-western outskirts of Nakhchivan, 3850 m from the airport runway.', 'Olympic Airways Flight 954 was a Douglas DC-6B aircraft that crashed into a mountain near Keratea (approx.']"
119,84,119_number_numbers_binary_words,"['number', 'numbers', 'binary', 'words', 'sequence', 'represented', 'code', 'writing', 'characters', 'represent']","['It is also used for the number 5.', 'It is defined by indexing the elements of the sequence by the numbers from 0 to n − 1 and then reversing the binary representations of each of these numbers (padded so that each of these binary numbers has length exactly k).', 'Nor even can the number of digits of that number.']"
120,84,120_tide_tides_ocean_tidal,"['tide', 'tides', 'ocean', 'tidal', 'sea', 'beach', 'continental', 'coast', 'high', 'seas']","['Tuvalu is also affected by perigean spring tide events (often called a king tide), which raise the sea level higher than a normal high tide.', 'Flood tide is the rising tide of an ocean, the opposite of ebb tide', 'Ebb tide means the period between high tide and low tide during which water flows away from the shore.']"
121,82,121_released_release_version_scheduled,"['released', 'release', 'version', 'scheduled', '2017', 'releases', '2012', 'edition', 'digital', 'announced']","['It is slated to be released on Halloween of 2016.', 'It was released in May 2012.', 'Released in April 2006, it was rumored to be a Canadian-only release.']"
122,80,122_sex_discrimination_marriage_sexual,"['sex', 'discrimination', 'marriage', 'sexual', 'orientation', 'identity', 'rights', 'legal', 'law', 'act']","['The anti-discrimination law enacted in 2012 defines discrimination and includes protection against it on grounds of sexual orientation, gender identity and gender expression.', 'Same-sex sexual activity is legal since May 2016, but there are no legal recognition of same-sex unions, protections against discrimination, or other protections.', 'Inhofe is in favor of a constitutional amendment banning same-sex marriage, against adding sexual orientation to the definition of hate crimes, and voted against prohibiting job discrimination on the basis of sexual orientation.']"
